Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,210.8,-5.13,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,210.8,-5.13,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,210.8,-5.13,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,210.8,-5.13,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,210.8,-5.13,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,210.8,-5.13,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,210.8,-5.13,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,210.8,-5.13,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,210.8,-5.13,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,210.8,-5.13,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,210.8,-5.13,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,210.8,-5.13,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,210.8,-5.13,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,210.8,-5.13,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,210.8,-5.13,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,210.8,-5.13,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,210.8,-5.13,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,210.8,-5.13,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,210.8,-5.13,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,210.8,-5.13,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,210.8,-5.13,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,210.8,-5.13,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,210.8,-5.13,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,210.8,-5.13,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,210.8,-5.13,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,210.8,-5.13,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
0.27,210.8,-5.13,0.35,-0.0,0.0,9.8,0.0,-0.0,0.0
0.28,210.8,-5.13,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.29,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.3,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.31,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.32,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.33,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.34,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.35,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.36,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.37,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.38,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
0.39,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,-0.0,-0.0
0.4,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.41,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.42,210.8,-5.13,0.35,-0.0,-0.0,9.81,-0.0,-0.0,-0.0
0.43,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
0.44,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.45,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.46,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.47,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
0.48,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.49,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,0.0,-0.0
0.5,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.51,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.52,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.53,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.54,210.8,-5.13,0.35,-0.0,-0.0,9.81,-0.0,-0.0,0.0
0.55,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.56,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,-0.0,-0.0
0.57,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.58,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.59,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.6,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,0.0,-0.0
0.61,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.62,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,-0.0,-0.0
0.63,210.8,-5.13,0.35,0.0,0.0,9.81,0.0,0.0,0.0
0.64,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.65,210.8,-5.13,0.35,-0.0,-0.0,9.81,-0.0,0.0,0.0
0.66,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.67,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,-0.0,0.0
0.68,210.8,-5.13,0.35,-0.0,-0.0,9.81,-0.0,-0.0,0.0
0.69,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.7,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.71,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.72,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.73,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.74,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.75,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.76,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,-0.0,-0.0
0.77,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.78,210.8,-5.13,0.35,0.0,0.0,9.81,0.0,0.0,0.0
0.79,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.8,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.81,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.82,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.83,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
0.84,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.85,210.8,-5.13,0.35,-0.0,-0.0,9.81,-0.0,-0.0,-0.0
0.86,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.87,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.88,210.8,-5.13,0.35,-0.0,-0.0,9.81,-0.0,-0.0,0.0
0.89,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.9,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.91,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,0.0,-0.0
0.92,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
0.93,210.8,-5.13,0.35,0.0,0.0,9.81,0.0,-0.0,0.0
0.94,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,-0.0,-0.0
0.95,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,0.0
0.96,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.97,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.98,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.99,210.8,-5.13,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
1.0,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
1.01,210.8,-5.13,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
1.02,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,-0.0
1.03,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
1.04,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
1.05,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.06,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.07,210.8,-5.13,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
1.08,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.09,210.8,-5.13,0.35,0.0,0.0,9.81,0.0,0.0,-0.0
1.1,210.8,-5.13,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
1.11,210.8,-5.13,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
1.12,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.13,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.14,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.15,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.16,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.17,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.18,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.19,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.2,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.21,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.22,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.23,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.24,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.25,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
1.26,210.8,-5.13,0.35,-0.0,0.0,9.81,0.0,0.0,0.0
