Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,226.0,-4.56,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,226.0,-4.56,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,226.0,-4.56,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,226.0,-4.56,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,226.0,-4.56,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,226.0,-4.56,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,226.0,-4.56,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,226.0,-4.56,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,226.0,-4.56,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,226.0,-4.56,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,226.0,-4.56,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,226.0,-4.56,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,226.0,-4.56,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,226.0,-4.56,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,226.0,-4.56,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,226.0,-4.56,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,226.0,-4.56,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,226.0,-4.56,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,226.0,-4.56,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,226.0,-4.56,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,226.0,-4.56,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,226.0,-4.56,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,226.0,-4.56,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,226.0,-4.56,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,226.0,-4.56,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,226.0,-4.56,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
0.27,226.0,-4.56,0.35,-0.0,0.0,9.8,0.0,-0.0,0.0
0.28,226.0,-4.56,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.29,226.0,-4.56,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.3,226.0,-4.56,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.31,226.0,-4.56,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.32,226.0,-4.56,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
