Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,172.8,-6.55,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,172.8,-6.55,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,172.8,-6.55,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,172.8,-6.55,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,172.8,-6.55,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,172.8,-6.55,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,172.8,-6.55,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,172.8,-6.55,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,172.8,-6.55,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,172.8,-6.55,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,172.8,-6.55,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,172.8,-6.55,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,172.8,-6.55,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,172.8,-6.55,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,172.8,-6.55,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,172.8,-6.55,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,172.8,-6.55,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,172.8,-6.55,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,172.8,-6.55,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,172.8,-6.55,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,172.8,-6.55,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,172.8,-6.55,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,172.8,-6.55,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
