Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,157.6,-7.12,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,157.6,-7.12,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,157.6,-7.12,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,157.6,-7.12,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,157.6,-7.12,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,157.6,-7.12,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,157.6,-7.12,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,157.6,-7.12,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,157.6,-7.12,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,157.6,-7.12,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,157.6,-7.12,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,157.6,-7.12,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,157.6,-7.12,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,157.6,-7.12,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,157.6,-7.12,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,157.6,-7.12,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,157.6,-7.12,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,157.6,-7.12,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,157.6,-7.12,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,157.6,-7.12,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,157.6,-7.12,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,157.6,-7.12,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,157.6,-7.12,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,157.6,-7.12,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,157.6,-7.12,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,157.6,-7.12,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
0.27,157.6,-7.12,0.35,-0.0,0.0,9.8,0.0,-0.0,0.0
0.28,157.6,-7.12,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.29,157.6,-7.12,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.3,157.6,-7.12,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.31,157.6,-7.12,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.32,157.6,-7.12,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.33,157.6,-7.12,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.34,157.6,-7.12,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.35,157.6,-7.12,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.36,157.6,-7.12,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.37,157.6,-7.12,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.38,157.6,-7.12,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
0.39,157.6,-7.12,0.35,0.0,0.0,9.81,-0.0,-0.0,-0.0
0.4,157.6,-7.12,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.41,157.6,-7.12,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.42,157.6,-7.12,0.35,-0.0,-0.0,9.81,-0.0,-0.0,-0.0
0.43,157.6,-7.12,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
0.44,157.6,-7.12,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.45,157.6,-7.12,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.46,157.6,-7.12,0.35,0.0,0.0,9.81,-0.0,0.0,0.0
0.47,157.6,-7.12,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
