Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,248.8,3.71,0.35,0.0,0.0,19.77,-0.0,0.0,-0.0
0.02,248.8,3.71,0.35,-0.0,-0.0,7.83,-0.0,-0.0,-0.0
0.03,248.8,3.71,0.35,0.0,-0.0,8.21,0.0,-0.0,-0.0
0.04,248.8,3.71,0.35,0.0,0.0,8.53,-0.0,0.0,0.0
0.05,248.8,3.71,0.35,0.0,0.0,8.79,-0.0,0.0,0.0
0.06,248.8,3.71,0.35,0.0,-0.0,8.99,0.0,0.0,-0.0
0.07,248.8,3.71,0.35,-0.0,0.0,9.16,0.0,-0.0,0.0
0.08,248.8,3.71,0.35,0.0,0.0,9.29,-0.0,-0.0,-0.0
0.09,248.8,3.71,0.35,0.0,-0.0,9.39,0.0,0.0,-0.0
0.1,248.8,3.71,0.35,-0.0,0.0,9.48,-0.0,-0.0,0.0
0.11,248.8,3.71,0.35,0.0,-0.0,9.54,-0.0,0.0,0.0
0.12,248.8,3.71,0.35,-0.0,-0.0,9.6,0.0,-0.0,0.0
0.13,248.8,3.71,0.35,-0.0,0.0,9.64,-0.0,-0.0,-0.0
0.14,248.8,3.71,0.35,0.0,-0.0,9.67,-0.0,0.0,-0.0
0.15,248.8,3.71,0.35,-0.0,-0.0,9.7,-0.0,-0.0,0.0
0.16,248.8,3.71,0.35,0.0,-0.0,9.72,0.0,0.0,-0.0
0.17,248.8,3.71,0.35,-0.0,-0.0,9.74,0.0,0.0,0.0
0.18,248.8,3.71,0.35,-0.0,0.0,9.75,0.0,0.0,-0.0
0.19,248.8,3.71,0.35,-0.0,0.0,9.77,-0.0,-0.0,-0.0
0.2,248.8,3.71,0.35,0.0,-0.0,9.77,-0.0,-0.0,-0.0
0.21,248.8,3.71,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,248.8,3.71,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.23,248.8,3.71,0.35,-0.0,-0.0,9.79,0.0,0.0,0.0
0.24,248.8,3.71,0.35,0.0,0.0,9.8,-0.0,0.0,-0.0
0.25,248.8,3.71,0.35,-0.0,0.0,9.8,-0.0,-0.0,-0.0
0.26,248.8,3.71,0.35,-0.0,0.0,9.8,-0.0,-0.0,-0.0
0.27,248.8,3.71,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.28,248.8,3.71,0.35,-0.0,-0.0,9.8,0.0,-0.0,0.0
0.29,248.8,3.71,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.3,248.8,3.71,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.31,248.8,3.71,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
