Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,233.6,-4.28,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,233.6,-4.28,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,233.6,-4.28,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,233.6,-4.28,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,233.6,-4.28,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,233.6,-4.28,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,233.6,-4.28,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,233.6,-4.28,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,233.6,-4.28,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,233.6,-4.28,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,233.6,-4.28,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,233.6,-4.28,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,233.6,-4.28,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,233.6,-4.28,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,233.6,-4.28,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,233.6,-4.28,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,233.6,-4.28,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,233.6,-4.28,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,233.6,-4.28,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,233.6,-4.28,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,233.6,-4.28,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,233.6,-4.28,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,233.6,-4.28,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,233.6,-4.28,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,233.6,-4.28,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,233.6,-4.28,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
0.27,233.6,-4.28,0.35,-0.0,0.0,9.8,0.0,-0.0,0.0
0.28,233.6,-4.28,0.35,0.0,0.0,9.8,-0.0,0.0,0.0
0.29,233.6,-4.28,0.35,-0.0,0.0,9.81,-0.0,0.0,0.0
0.3,233.6,-4.28,0.35,-0.0,0.0,9.81,-0.0,-0.0,-0.0
0.31,233.6,-4.28,0.35,0.0,-0.0,9.81,0.0,0.0,-0.0
0.32,233.6,-4.28,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.33,233.6,-4.28,0.35,-0.0,0.0,9.81,0.0,-0.0,0.0
0.34,233.6,-4.28,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.35,233.6,-4.28,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.36,233.6,-4.28,0.35,-0.0,-0.0,9.81,0.0,0.0,0.0
0.37,233.6,-4.28,0.35,-0.0,-0.0,9.81,0.0,-0.0,0.0
0.38,233.6,-4.28,0.35,-0.0,0.0,9.81,-0.0,-0.0,0.0
0.39,233.6,-4.28,0.35,0.0,0.0,9.81,-0.0,-0.0,-0.0
0.4,233.6,-4.28,0.35,0.0,-0.0,9.81,0.0,0.0,0.0
0.41,233.6,-4.28,0.35,0.0,0.0,9.81,-0.0,0.0,-0.0
0.42,233.6,-4.28,0.35,-0.0,-0.0,9.81,-0.0,-0.0,-0.0
0.43,233.6,-4.28,0.35,0.0,-0.0,9.81,-0.0,0.0,-0.0
