Time,GPS X,GPS Y,GPS Z,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0.01,218.4,-4.85,0.35,0.0,0.0,19.77,0.0,0.0,-0.0
0.02,218.4,-4.85,0.35,-0.0,-0.0,7.83,0.0,0.0,0.0
0.03,218.4,-4.85,0.35,-0.0,0.0,8.21,-0.0,-0.0,-0.0
0.04,218.4,-4.85,0.35,0.0,-0.0,8.53,0.0,0.0,0.0
0.05,218.4,-4.85,0.35,-0.0,0.0,8.79,0.0,-0.0,-0.0
0.06,218.4,-4.85,0.35,-0.0,-0.0,8.99,0.0,-0.0,0.0
0.07,218.4,-4.85,0.35,0.0,0.0,9.16,-0.0,-0.0,-0.0
0.08,218.4,-4.85,0.35,0.0,-0.0,9.29,-0.0,0.0,-0.0
0.09,218.4,-4.85,0.35,-0.0,-0.0,9.39,-0.0,-0.0,-0.0
0.1,218.4,-4.85,0.35,0.0,0.0,9.48,-0.0,0.0,-0.0
0.11,218.4,-4.85,0.35,-0.0,-0.0,9.54,0.0,0.0,-0.0
0.12,218.4,-4.85,0.35,-0.0,0.0,9.6,-0.0,-0.0,0.0
0.13,218.4,-4.85,0.35,0.0,0.0,9.64,-0.0,0.0,0.0
0.14,218.4,-4.85,0.35,-0.0,-0.0,9.67,0.0,-0.0,0.0
0.15,218.4,-4.85,0.35,0.0,0.0,9.7,-0.0,0.0,0.0
0.16,218.4,-4.85,0.35,-0.0,0.0,9.72,-0.0,-0.0,0.0
0.17,218.4,-4.85,0.35,0.0,-0.0,9.74,0.0,0.0,-0.0
0.18,218.4,-4.85,0.35,-0.0,-0.0,9.75,0.0,0.0,-0.0
0.19,218.4,-4.85,0.35,-0.0,-0.0,9.77,0.0,-0.0,-0.0
0.2,218.4,-4.85,0.35,0.0,0.0,9.77,-0.0,0.0,0.0
0.21,218.4,-4.85,0.35,0.0,0.0,9.78,-0.0,0.0,-0.0
0.22,218.4,-4.85,0.35,-0.0,-0.0,9.79,0.0,-0.0,-0.0
0.23,218.4,-4.85,0.35,0.0,-0.0,9.79,0.0,0.0,-0.0
0.24,218.4,-4.85,0.35,-0.0,0.0,9.8,-0.0,-0.0,0.0
0.25,218.4,-4.85,0.35,0.0,-0.0,9.8,-0.0,-0.0,0.0
0.26,218.4,-4.85,0.35,0.0,-0.0,9.8,0.0,0.0,-0.0
