Speed (km/hr),Max Acceleration (m/s^2),Max Angular Velocity (rad/s),Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Max Velocity (m/s),Max Accel from Vel (m/s^2)
73.51846971091726,3042.953853876658,8.68660092974125,500.597765885675,-5.599940655936689,0.3630468233086421,-0.0031327840571538238,0.9999950448995671,0.00030958094912508983,0.054728682680275885,30.497456121810547,3049.7456121810546
59.56795965015424,2465.4850692950913,50.31182110374308,500.48285652380787,-5.599944292847651,0.3625750575485841,-0.0029422617175113353,0.9999956557642659,-0.0001776192041794031,0.05141928830597758,24.70983028959915,2470.983028959915
56.51340178214336,2339.0393853375544,18.059694296766853,500.4577366541765,-5.59994713916708,0.3624447896976723,-0.00284208079150941,0.999995946365922,-0.00017270928903236396,0.05050660362331026,23.442536540042923,2344.253654004292
78.15932178454005,3235.069541352283,30.987511202003343,500.635916710709,-5.599926662614145,0.363254566440825,-0.0035592999234474254,0.9999936504358605,-0.0001745623581297534,0.05618291146984685,32.42291626704649,3242.2916267046494
47.769362249621594,1977.0950460490303,22.24713134826491,500.38567101132077,-5.599955416625642,0.36217701411485287,-0.002484688825584035,0.9999968995484175,-0.00016496967030063664,0.0486257475112881,19.814970693526735,1981.4970693526736
45.20286589238002,1870.8529175184683,23.926477343323167,500.36457376633786,-5.59995773522512,0.3620616500745935,-0.002394834264394865,0.9999971195105016,-0.0001604354877611126,0.047817383570931495,18.750160029379742,1875.016002937974
97.5315609187316,4036.9805507946558,15.968106236724056,500.7954133246148,-5.599907820634177,0.36395785918465673,-0.004136003934502989,0.999991437108092,-0.00013849890496866386,0.061110156668336496,40.45997168998651,4045.997168998651
29.476358947274193,1227.0654845848553,30.09958141763756,509.60774757534074,-5.600099607091768,0.5650678331638943,0.002218860565692335,0.9999974433757122,0.00043577497563357723,1.9249872166049329,12.225785588036466,1232.673119771947
22.573372191401894,1134.4940774422432,19.148920084686385,501.7352792239304,-5.599887702965012,0.19804528573727073,-1.9139967164176147e-05,0.9999999125513965,0.00041776890837837366,1.7169464639082486,9.87013999814594,1140.8432495725808
85.12073173864536,3523.210389110671,27.18222671282476,500.69339611070336,-5.599919537722594,0.3633967944870783,-0.0038459169794288453,0.9999925910944547,-0.00016333641939952272,0.05718539595325032,35.310770511084954,3531.077051108495
60.69523129420059,2512.1445503950863,33.12759931755063,500.49216225010196,-5.599943225058068,0.36259945683950395,-0.0029906092537795312,0.9999955127475144,-0.00017533147754410686,0.051591224026848466,25.177470447512075,2517.747044751208
48.721911924187324,2015.9813103713825,23.022597708937717,500.3934588266657,-5.599953927499325,0.36222316430772855,-0.002454439464781222,0.9999969110457793,-0.0003919512901356665,0.04913294136223942,20.204704781927095,2020.4704781927098
23.813925116479957,1154.8222770342688,33.56266953540206,572.205131232314,-5.5903021783757225,0.1943462570235637,0.6484940360294904,-0.33069507115101243,-0.6856356577298244,2.298565539116922,10.459313611445719,1160.2012632168767
77.27993949098412,3198.4769061758766,14.483465176658884,500.62891930218865,-5.599927119433214,0.3630554402607298,-0.00360201161808384,0.9999934859942446,-0.00023126041906483438,0.05486070803182993,32.0561634644039,3205.6163464403908
54.75419707203453,2266.2106812965744,20.455830788112102,500.4433170978104,-5.5999488742258725,0.3623379953893556,-0.0027943401521933224,0.9999960832122503,-0.00015881836160553742,0.04975960664428052,22.712613147812707,2271.261314781271
68.10822888670906,2819.0019198407326,19.41780555844534,500.55319907200305,-5.599936195465024,0.3628658922484646,-0.003247871527742086,0.9999947098426394,-0.0001778124707534742,0.05345961698842329,28.252921143045608,2825.292114304561
68.99429628162775,2855.664557367289,45.4225348814238,500.5606114838734,-5.599935266448169,0.3628195614529105,-0.0033200043760164516,0.9999944745198293,-0.00016882166275060452,0.053138762219543174,28.62036540660525,2862.0365406605247
36.09257173851421,1493.7469625311776,22.769039985147163,500.28952270887874,-5.599966283283472,0.3617605689228405,-0.0019970758982247763,0.9999979961800046,-0.00013901018722161523,0.045703047407826415,14.970610132995123,1497.0610132995125
80.43807861057704,3327.791278856077,30.39725132405471,500.65454839067206,-5.599923110001538,0.36333769483198247,-0.003463938900274394,0.9999937619339849,-0.0006908114156517559,0.05727675574690887,33.352204680825885,3335.220468082588
65.36759761068649,2705.549692941758,49.729331632716715,500.5306699304194,-5.599938772027324,0.36274288791528236,-0.0031675347098428603,0.9999949681467314,-0.0001743705240693377,0.05259835039870601,27.115855731793992,2711.5855731793995
33.086691712538936,1456.7247522328978,27.2866139154426,522.785479042756,-5.5785123081325665,0.771559269204579,-0.10024683580844018,-0.9936698219213052,0.05070361834501794,2.2388469996902267,14.252058574891294,1459.8754086821311
100.47550001629808,4158.828119058582,25.087250845141195,500.81974839136444,-5.599904789452523,0.3639994329321754,-0.004259041443156903,0.9999909227519205,-0.000122391780819219,0.061404793805216684,41.681171073664345,4168.1171073664345
44.41086100375977,1836.0970814784548,23.380308495360186,500.3577611842741,-5.599960373021496,0.3621117079259261,-0.001985175946266159,0.9999978029432927,-0.0006731902033130641,0.04873312081163043,18.40181575846236,1840.1815758462358
15.101877119209462,905.3722607146618,20.10555987770518,501.55177066487266,-5.60003800801474,0.37336830595159826,0.0007571989246634321,0.9999990361166091,0.0011637936420018254,2.1427221729239716,7.609200391185686,899.2999064553486
58.889812435104716,2410.6953854354156,47.707847885095525,500.46363055723964,-5.5999385344778085,0.3713015668912101,-0.00011952963427366613,0.9999941929109643,-0.003405856282315551,0.11825174309336456,24.16048904045021,2416.0489040450207
